city_slug,country,n_stations,M_mean,M_std,I_mean,I_std,T_mean,T_std,D_mean,D_std
world_ae_careem_bike,AE,225,0.38666666666666666,0.8381527307120104,1.1422222222222222,1.8938916011285853,3.4057418611461165,1.8826837019411966,7.022222222222222,7.043515536371812
world_ar_bike_nordelta,AR,21,0.0,0.0,0.0,0.0,1.1739796411573515,0.28435961783533636,4.095238095238095,2.0953463175513947
world_ar_ecobici,AR,392,0.49489795918367346,0.9018165752197577,3.568877551020408,3.596723539592947,4.467586594052068,2.6990680638798437,7.622448979591836,3.788568904641481
world_ar_mibicitubici,AR,99,0.06060606060606061,0.23982058847557647,0.6363636363636364,1.9296533761620454,3.2181655770379267,2.7301372125905883,3.9797979797979797,1.9793824948231213
world_at_city_bike_linz,AT,50,1.72,2.2409910344145803,23.22,19.99825502591745,3.245875738298245,1.8605163567684315,18.64,8.606499679584836
world_at_nextbike_klagenfurt_austria,AT,50,0.14,0.3505098327538656,10.28,8.910072264303025,3.103070663315393,1.5548976140816824,7.04,6.236691954122173
world_at_stadtrad_innsbruck_austria,AT,55,2.8727272727272726,2.5966826804137892,14.963636363636363,13.460454612821902,3.1625865707029437,1.4715357312742967,11.89090909090909,7.319868262507965
world_at_vvt_regiorad_tirol,AT,21,0.09523809523809523,0.30079260375911915,5.809523809523809,5.036060440652471,7.2539354258981295,3.029429299182454,8.285714285714286,3.0355041944108256
world_be_blue_bike,BE,276,0.7789855072463768,1.4314876126756186,14.007246376811594,13.182355356825395,6.105633493656313,6.688944346618568,0.6521739130434783,1.3811835447143597
world_be_li_bia_velo,BE,27,0.14814814814814814,0.3620139928982457,10.185185185185185,8.580106853544052,4.2700835628034675,2.5091557873902417,9.037037037037036,3.956314149864954
world_be_velo_antwerpen,BE,321,2.641744548286604,3.3493472419324486,15.358255451713395,12.681901550912642,1.9976118154725655,1.0662208350842663,18.98442367601246,11.98995961711038
world_be_villo,BE,348,2.413793103448276,2.4731490578907613,7.632183908045977,8.692459142110586,8.607392187514774,4.534890136263086,10.408045977011493,5.338689590660844
world_br_bike_brasilia,BR,70,0.22857142857142856,0.7833674720546494,3.0428571428571427,4.308521096300572,12.11864732426302,4.679290005770717,5.571428571428571,2.458769744047683
world_br_bike_est_cio,BR,51,0.0392156862745098,0.28005601680560194,7.235294117647059,8.769465742664414,7.0181686836207176,4.587310158994085,6.784313725490196,4.91655865617485
world_br_bike_ita_pernambuco,BR,90,0.011111111111111112,0.10540925533894599,0.9666666666666667,1.2847419187341902,3.0761613691971776,1.430764747028844,7.644444444444445,5.195743960769012
world_br_bike_ita_rio,BR,406,0.5665024630541872,1.2897549135517785,2.251231527093596,3.4727775144373076,6.470369533140017,4.340260318321664,16.142857142857142,7.394978991566798
world_br_bike_ita_salvador,BR,74,0.04054054054054054,0.19856948607402855,1.3108108108108107,1.7195545431101744,9.801462445130095,7.36012834100814,3.4324324324324325,1.7910055420172402
world_br_bike_ita_sampa,BR,240,0.25416666666666665,0.5392379301641851,3.7625,5.59866335661943,6.845606135361424,4.619624499529669,16.091666666666665,11.237263051678024
world_br_bike_porto_alegre,BR,90,0.022222222222222223,0.1482313540789697,5.466666666666667,6.009729938406906,6.883760227581894,4.159362069746048,9.955555555555556,5.4026857888307696
world_ca_bike_share_toronto,CA,1033,2.2749273959341725,2.8857308365141767,5.242013552758954,6.251937421557574,5.5561078834131425,4.111590741955653,24.61568247821878,25.867664595997454
world_ca_bixi_montr_al,CA,1057,0.27625354777672656,0.6164828483577741,11.049195837275308,11.939455924820871,4.518362817675837,4.062241612105886,23.68211920529801,22.818644192358217
world_ca_mobi_bike_share,CA,263,0.22433460076045628,0.598229763090297,21.980988593155892,20.752347879948516,7.883792845612396,4.737413265996837,20.94296577946768,10.424601057168307
world_ca_v_lo,CA,225,0.013333333333333334,0.11495340671022204,3.5244444444444443,4.04556390402961,10.587874030075177,11.05552701801824,12.746666666666666,8.210555053448841
world_ch_velospot,CH,1634,1.9106487148102815,3.008149241132712,4.7105263157894735,6.947272279782595,13.3385522609014,20.11831721110353,22.268053855569157,26.490851491490208
world_cl_bike_ita_santiago,CL,200,0.245,0.44266779176866566,1.295,2.292214263797296,7.598781610950118,5.108207803516401,11.73,6.186149223148055
world_co_bogot,CO,194,0.005154639175257732,0.0717958158617738,3.7010309278350517,4.630748657460496,4.124986162981313,2.9386392255576097,20.54639175257732,8.343680700894591
world_cz_nextbike_bene_ov,CZ,26,0.07692307692307693,0.271746488194703,1.1923076923076923,2.3497954084427137,7.235317997093669,3.604133796097164,13.153846153846153,5.773680335399996
world_cz_nextbike_berounsko,CZ,29,0.13793103448275862,0.3509312031717982,3.4827586206896552,5.2278149604862385,15.804032745800136,11.103062512080419,3.586206896551724,3.1226961951322765
world_cz_nextbike_esk_t_ebov,CZ,26,0.038461538461538464,0.19611613513818402,1.1153846153846154,2.046009248794796,7.8708873458413295,3.6812902201046045,8.461538461538462,4.071665695813144
world_cz_nextbike_kl_terec_nad_oh,CZ,22,0.13636363636363635,0.3512500866571044,3.0454545454545454,5.4377627816284955,9.180879953169905,3.6917653041576433,9.454545454545455,4.0441288746747865
world_cz_nextbike_liberec,CZ,51,1.9803921568627452,2.167857892745107,2.2549019607843137,3.637818781934592,9.933693993248388,6.065060438402151,13.607843137254902,8.72027162735783
world_cz_nextbike_olbramovicevotice,CZ,20,0.1,0.30779350562554625,0.1,0.44721359549995787,12.961238005470886,3.571570399924665,5.9,3.6113855046447054
world_cz_nextbike_praha,CZ,1489,2.7347212894560107,2.4191517037901997,4.422431161853593,7.254183572293552,5.417030632970633,5.683818234752593,75.10275352585629,46.95587667131922
world_cz_nextbike_umperk,CZ,20,0.05,0.22360679774997894,3.1,4.27846504694087,4.155558158936296,1.4879644830573,10.0,3.8797721039962343
world_cz_nextbike_vrchlab,CZ,25,0.12,0.33166247903553997,4.16,7.133722730804724,16.594253088735005,15.379002339059607,4.16,3.158058475287203
world_de_bre_bike,DE,108,1.9537037037037037,1.7845874900152314,12.287037037037036,9.180486137359045,3.062071407720745,2.612553481014208,4.018518518518518,3.5229063020094604
world_de_die_gr_ne_flotte,DE,279,2.053763440860215,2.3415188672545395,15.451612903225806,14.982135257885917,6.062798618992459,9.414440526870429,11.412186379928315,8.709871718138709
world_de_frelo,DE,161,1.6645962732919255,2.227510099244451,15.031055900621118,16.570086888821844,9.861905285569833,12.181213682934683,5.180124223602484,5.4884972883724785
world_de_moin_mobil_achim,DE,35,0.2857142857142857,0.5185629788417315,5.114285714285714,6.018459000400003,3.717724784802024,2.078519586688381,2.0,1.7320508075688772
world_de_movemix_bike,DE,89,3.831460674157303,2.581560288663444,7.865168539325842,8.54159742782338,4.717524687173398,2.045009206208297,14.292134831460674,10.859853346564428
world_de_naturenergie_sharing,DE,318,1.0660377358490567,1.8386090679002984,11.11320754716981,14.474814909034057,13.089595315418991,23.619544709583042,4.2578616352201255,4.730882280081298
world_de_nextbike_berlin,DE,1456,1.4423076923076923,1.9359421631888347,13.746565934065934,13.98328611609533,2.620956154055544,1.4476945409057165,25.343406593406595,19.442050588031034
world_de_nextbike_gie_en,DE,64,0.125,0.3333333333333333,7.859375,8.888850136324256,4.990676009390377,3.4614470550392236,11.5625,7.309213581131911
world_de_nextbike_kassel,DE,65,3.292307692307692,3.116102718757223,11.415384615384616,10.974248703915208,10.36825104613376,6.276617154519946,6.676923076923077,5.4028571501211635
world_de_stadtrad_greifswald,DE,25,0.08,0.27688746209726917,7.32,5.8574738582429875,2.5287802978999325,0.6773648427247384,3.6,2.768874620972692
world_de_swabi_augsburg,DE,527,1.8519924098671727,2.57158182739716,12.299810246679318,10.429614713966952,2.349067354447257,1.6287531162309083,32.891840607210625,25.747266639031604
world_de_usedomrad,DE,98,0.19387755102040816,0.39736667388127356,1.4489795918367347,3.293612840934854,5.120666563760662,3.4533710504805013,2.0816326530612246,1.6970166022172959
world_de_westbike,DE,20,0.25,0.4442616583193193,4.1,4.411706913966163,15.46782277196247,4.1915276319787385,1.4,0.9403246919632544
world_es_ambici,ES,237,0.6371308016877637,1.0184593901715433,8.49367088607595,10.45758999895006,11.248447031272343,6.60580385996211,6.987341772151899,3.3134049933031124
world_es_bicicoru_a,ES,81,0.024691358024691357,0.15614965913950216,5.185185185185185,6.442264957123215,14.331637060661697,6.6836166407856235,10.814814814814815,5.362161670238765
world_es_bicimad,ES,638,0.5862068965517241,0.7292483611207233,2.727272727272727,5.575589521814706,10.069334028155396,5.096480578737314,13.156739811912226,10.168465275437812
world_es_bicing,ES,545,1.1706422018348623,1.3415930193116432,26.607339449541286,22.555893429132894,7.205469409596009,5.0083642851454595,29.779816513761467,12.515694410775536
world_es_bicinrivas,ES,42,0.0,0.0,6.904761904761905,6.599369976616666,10.252997407615373,2.677794208272472,6.571428571428571,2.4107771962368214
world_es_bicipalma,ES,91,0.14285714285714285,0.4364357804719847,2.67032967032967,3.4482038643487845,5.914262229139682,2.8571872492062806,9.824175824175825,6.292135137690909
world_es_bilbao_bizi,ES,48,1.4791666666666667,1.6883780878037613,4.208333333333333,5.214375927381602,17.90585327470861,11.429878806733683,7.208333333333333,3.8368777939457184
world_es_bizi,ES,276,0.40217391304347827,0.8992091386873324,9.192028985507246,9.56752508394329,5.0771704351688625,2.52648943846828,18.420289855072465,8.36817485842242
world_es_bizkaibizi_spain,ES,105,0.49523809523809526,0.9719509476761903,4.6,6.148170459575759,16.15015710668176,8.325946856581924,6.933333333333334,3.417338895720635
world_es_dbizi,ES,70,0.42857142857142855,0.5791405068790082,9.257142857142858,8.963186729958695,14.165885565580496,10.91780757175791,11.771428571428572,6.814671786138716
world_es_ganxeta,ES,24,0.041666666666666664,0.20412414523193154,6.5,7.430840551670304,6.924540812394706,1.9203444992061691,11.166666666666666,4.86036916353039
world_es_moxsi_las_palmas_de_gran_canaria,ES,64,0.0,0.0,1.8125,2.217355782608345,17.79757018539525,11.758317361360367,7.21875,4.300124582912852
world_es_nextbike_bicilog,ES,35,0.02857142857142857,0.16903085094570333,6.428571428571429,7.195937229092678,6.533944662419505,3.3045639126525503,6.4,3.0697767690444047
world_es_nextbike_le_n,ES,51,0.0392156862745098,0.19603921176392136,4.372549019607843,5.366416995775581,6.668200664200456,3.343920139595997,8.431372549019608,4.976966553879117
world_es_sevici,ES,246,0.3617886178861789,0.8731851453113295,14.300813008130081,9.77496590889162,2.5326818817039567,1.1374847504297787,17.991869918699187,9.352939893552056
world_es_tuebici,ES,42,0.23809523809523808,0.8781778199154231,3.8095238095238093,3.8523866231910353,17.02620202718313,4.752803204274142,5.380952380952381,3.035982429914622
world_es_valenbisi,ES,279,0.9498207885304659,1.518823724905582,22.107526881720432,15.275500462023558,3.281065697857405,1.451538008792961,21.032258064516128,7.474346937959896
world_es_valladolid,ES,104,0.04807692307692308,0.2916244323772833,5.163461538461538,5.944909835309756,4.209837104500146,3.6363272861176648,9.923076923076923,6.057479221449896
world_fr_altervelo_libre_service,FR,31,0.0,0.0,1.4516129032258065,4.064797737300257,34.77537829354643,19.298208034912587,1.3548387096774193,1.6642993940749606
world_fr_auxr_m_le_v_lo,FR,55,0.03636363636363636,0.1889185954061582,1.7272727272727273,3.5561868126498433,24.084395483459478,13.073187276648452,1.1636363636363636,1.8233428434003092
world_fr_c_v_lo,FR,82,1.0731707317073171,1.376885802708668,5.2317073170731705,4.849077245775876,9.714852619961906,6.105102463158092,8.560975609756097,5.566871943377688
world_fr_caliv_lo,FR,66,0.10606060606060606,0.31027471097463977,2.772727272727273,4.873146052351853,6.765061519138541,7.840094401305561,2.878787878787879,3.288746085645837
world_fr_capcotentin,FR,49,0.0,0.0,6.224489795918367,6.847339222045941,11.884669214375124,9.972647222088826,4.0,3.304037933599835
world_fr_clem,FR,379,0.1741424802110818,0.43188584956339043,0.0,0.0,36.89384786823193,51.329147221898026,2.5118733509234827,5.452220694582722
world_fr_cycl_am,FR,34,0.08823529411764706,0.28790224128123654,2.7058823529411766,5.3965724911657045,8.461715640845812,7.547302399990588,1.2352941176470589,1.4986625053069267
world_fr_cyclovis,FR,28,0.14285714285714285,0.35634832254989923,2.5714285714285716,3.270842811633218,5.090749976109031,3.769072049373179,3.5714285714285716,2.8340335269269543
world_fr_graoulib,FR,56,0.10714285714285714,0.31209389196617965,11.267857142857142,11.735712507212677,7.7070251083598,4.995013482246343,3.7142857142857144,2.8394255866878537
world_fr_idecycle_pau,FR,40,0.05,0.22072142786315221,6.8,7.397851385923153,9.127982983563687,5.9048807844646864,3.8,3.790676822050486
world_fr_impulsyon,FR,31,0.06451612903225806,0.24973103811470743,7.032258064516129,6.519119935327375,6.938934636307823,3.3022556407425347,6.709677419354839,4.188822813051393
world_fr_le_marcel,FR,30,0.03333333333333333,0.18257418583505533,9.166666666666666,9.516168938410447,4.1187977099531485,1.2815018497240795,2.2666666666666666,1.7603552410558054
world_fr_le_v_lo_par_tbm,FR,228,1.6228070175438596,1.8555327476419496,6.37280701754386,6.276770474738554,3.9358524557502115,3.635063531803858,14.140350877192983,11.98925891753787
world_fr_le_v_lo_star,FR,57,0.49122807017543857,0.7349151315808964,11.859649122807017,12.62995107513885,5.923327080792199,3.2798878159042593,9.263157894736842,6.263631750571462
world_fr_lev_lo_marseille,FR,228,1.1929824561403508,1.8649429511769524,8.425438596491228,9.622324550893762,10.582170611501153,6.378663378275294,14.263157894736842,10.059341665411274
world_fr_lib_lo,FR,68,0.029411764705882353,0.1702139334575991,4.735294117647059,5.0949716125901245,8.001653187962004,5.325636596593328,5.676470588235294,4.764424058694014
world_fr_lovelo_libre_service,FR,124,0.7096774193548387,1.1389211379680155,11.379032258064516,14.277501057756414,5.37205866323791,3.240849819698861,13.790322580645162,9.04664892684937
world_fr_montenv_lo,FR,21,0.19047619047619047,0.6015852075182383,2.380952380952381,5.740001659200026,123.08875799051263,69.80589902845364,0.9523809523809523,1.0712698295103096
world_fr_naolib,FR,123,1.6504065040650406,2.1538518292242,15.040650406504065,13.324695656096699,5.385300259095133,2.8896941775974536,21.089430894308943,14.58946854057456
world_fr_nemov_lo,FR,52,0.038461538461538464,0.19418390934515434,4.596153846153846,6.004114979058081,11.542874356540116,8.834010350638604,6.769230769230769,5.396496265698824
world_fr_ogalo_cyclette,FR,22,0.045454545454545456,0.2132007163556105,3.5,3.8141341150540375,11.229745463830216,9.269000999200717,4.545454545454546,3.097268731168413
world_fr_optymo_belfort,FR,32,0.0625,0.24593468841898236,9.34375,8.660661432685895,5.221629649643498,3.1170016696304286,4.875,3.730865159545394
world_fr_rubis_velo,FR,46,0.06521739130434782,0.249637418228338,7.565217391304348,6.946308928450318,3.6643949366128887,2.162722812835645,6.956521739130435,4.961883700276788
world_fr_semo_v_lo,FR,40,0.05,0.22072142786315221,2.8,4.237803010874191,10.36281555905363,13.499099825222382,1.4,1.4815099712360342
world_fr_twisto_v_lolib,FR,76,0.9473684210526315,1.4867838833500562,19.69736842105263,25.1989522199328,8.634505455823462,4.811990552131165,4.447368421052632,4.21551020824164
